kernspaltung,atomspaltung,kernfission,fission
fortführung,wiederaufnahme
abfliegen,wegfliegen,abreisen, fortfahren,davonfahren,wegfahren,aufbrechen,abfahren,abdüsen
konzessions...,deputat...
bildungsmaßnahme,seminar,weiterbildung,training,workshop,kursus,lehrgang,kurs
abbau,zerlegung,demontage,entlassung
mangelhaftigkeit,defizienz
 mit den füßen treten ,verbotenes tun,missachten,zuwiderhandeln
gezackt,gezähnt,zackig
überwachen,beaufsichtigen
ethik,wertmaßstäbe,moral,moralische werte,sittliche werte,wertesystem,sittlichkeit,moralvorstellungen,wertvorstellungen
intramuskulär ,in einem muskel
impuls,bewegungsgröße
diffamierung,schmähung,herabwürdigung,verleumdung,rufschädigung,diffamation ,verunglimpfung,diffamie
dichtungsband,dichtband
urmensch,mensch der altsteinzeit
aus etwas schlau werden ,etwas verstehen
ankergrund,ankerplatz
kunde,adressat,auftraggeber,mandant
sozialdemokraten, alte tante spd ,sozialdemokratische partei deutschlands,spd,sozis
kulturhoheit,kulturautonomie
brevität,prägnanz,komprimiertheit,kürze
tapfer,wagemutig,couragiert,wacker,kühn,mutig
überzahlen,zu hoch bezahlen,zu viel bezahlen,überbezahlen
gradweg ,schlechterdings ,schlichtwegs,direktemang ,reinweg,schlechtweg,schlichtweg,nachgerade ,glattwegs,schlicht und einfach,freilich ,reinwegs,geradewegs,direkt,schlankweg ,einfach,schlicht,schlechthin ,schlankwegs,reinewegs,glattweg,durchaus,geradezu,rein ,glatt,rundweg,schlechtwegs,gerade
schlecht unterrichtet,schlecht informiert
verkrümmung,verzerrung
moorwurzel,pastinak,pastinake
schmelzen,sintern,fritten
schmierig,glitschig,ölig,schleimig,flutschig,schlierig
uefa,europäischer fußballverband
doppelwertig,ambivalent,kann man so oder so verstehen ,zweideutig,janusköpfig ,ambigue ,zweigesichtig ,uneindeutig,doppeldeutig,ambig ,mit zweifacher bedeutung ,doppelsinnig
dotierung,stiftung,gabe,schenkung
athletisch,topfit,gut in form,durchtrainiert
nicht umhinkommen ,nicht umhinkönnen , bemüßigt fühlen , genötigt sehen, gezwungen sehen, zu tun haben, veranlasst sehen,müssen,gezwungen sein,tun müssen,nicht anders können als..., bemüßigt sehen ,genötigt sein
wahr,wahrhaftig,wahrheitsgemäß,der wahrheit entsprechend,aufrichtig,wahrheitsgetreu
urgeschichtlich,prähistorisch,urzeitlich
bibliognosie ,bibliografie,bibliologie ,bibliographie
fruchttraube,kamm,haube
zwergfalke,merlin
